uid,namedLocation,plotID,collectDate,identifiedDate,sampleID,subsampleID,scientificName,acceptedTaxonID,taxonRank,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,identificationReferences,identificationProtocolVersion,scientificNameAuthorship,sexOrAge,individualCount,sampleCondition,archiveMedium,archiveFacilityID,deprecatedVialID,identifiedBy,laboratoryName,remarks
4d6611e1-a170-4cdc-8fc6-a573cdeb554a,WOOD_007.tickPlot.tck,WOOD_007,2016-07-06T16:45Z,2017-02-06T17:00Z,WOOD_007.20160706,WOOD_007.20160706.DERVAR.F,Dermacentor variabilis,DERVAR,species,Ixodidae,,,,Dermacentor,,variabilis,,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Female,1,OK,RNA stabilization buffer,USNMENT00865939,WOOD_007.20160706.01.Dermacentor variabilis.female,L. Beati,Georgia Southern University,
9227dd5d-6c65-41c6-a4f8-1a5393e4985e,WOOD_007.tickPlot.tck,WOOD_007,2016-07-06T16:45Z,2017-02-06T17:00Z,WOOD_007.20160706,WOOD_007.20160706.DERVAR.M,Dermacentor variabilis,DERVAR,species,Ixodidae,,,,Dermacentor,,variabilis,,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Male,2,OK,RNA stabilization buffer,USNMENT00862465,WOOD_007.20160706.01.Dermacentor variabilis.male,L. Beati,Georgia Southern University,
43410449-6777-445e-9e67-c387b8325e2b,WOOD_006.tickPlot.tck,WOOD_006,2016-07-06T18:00Z,2017-02-06T17:00Z,WOOD_006.20160706,WOOD_006.20160706.DERVAR.F,Dermacentor variabilis,DERVAR,species,Ixodidae,,,,Dermacentor,,variabilis,,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Female,3,OK,RNA stabilization buffer,USNMENT00865937,WOOD_006.20160706.01.Dermacentor variabilis.female,L. Beati,Georgia Southern University,
b763283e-e216-494a-ae68-f6e778ccce87,WOOD_002.tickPlot.tck,WOOD_002,2016-07-06T19:05Z,2017-02-06T17:00Z,WOOD_002.20160706,WOOD_002.20160706.DERVAR.F,Dermacentor variabilis,DERVAR,species,Ixodidae,,,,Dermacentor,,variabilis,,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Female,2,OK,RNA stabilization buffer,USNMENT00865935,WOOD_002.20160706.01.Dermacentor variabilis.female,L. Beati,Georgia Southern University,
91f29dee-4e89-4314-bd35-b1fa5fd28684,WOOD_009.tickPlot.tck,WOOD_009,2016-07-06T19:50Z,2017-02-06T17:00Z,WOOD_009.20160706,WOOD_009.20160706.DERVAR.F,Dermacentor variabilis,DERVAR,species,Ixodidae,,,,Dermacentor,,variabilis,,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Female,1,OK,RNA stabilization buffer,USNMENT00865936,WOOD_009.20160706.01.Dermacentor variabilis.female,L. Beati,Georgia Southern University,
12669c5f-3349-4529-846e-c0ae07bb0aad,WOOD_001.tickPlot.tck,WOOD_001,2016-07-27T14:53Z,2017-02-06T17:00Z,WOOD_001.20160727,WOOD_001.20160727.DERVAR.F,Dermacentor variabilis,DERVAR,species,Ixodidae,,,,Dermacentor,,variabilis,,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Female,1,OK,RNA stabilization buffer,USNMENT00865903,WOOD_001.20160727.01.Dermacentor variabilis.female,L. Beati,Georgia Southern University,
92683770-298b-4d44-8e2e-e06eabf70ee2,WOOD_007.tickPlot.tck,WOOD_007,2016-07-27T16:02Z,2017-02-06T17:00Z,WOOD_007.20160727,WOOD_007.20160727.DERVAR.M,Dermacentor variabilis,DERVAR,species,Ixodidae,,,,Dermacentor,,variabilis,,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Male,1,OK,RNA stabilization buffer,USNMENT00865901,WOOD_007.20160727.01.Dermacentor variabilis.male,L. Beati,Georgia Southern University,
30524096-b122-4ba1-8f95-87378519d1f4,WOOD_002.tickPlot.tck,WOOD_002,2016-07-27T18:58Z,2017-02-06T17:00Z,WOOD_002.20160727,WOOD_002.20160727.DERVAR.M,Dermacentor variabilis,DERVAR,species,Ixodidae,,,,Dermacentor,,variabilis,,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Male,1,OK,RNA stabilization buffer,USNMENT00865902,WOOD_002.20160727.01.Dermacentor variabilis.male,L. Beati,Georgia Southern University,
7dd8986c-98f9-4707-abcf-b79c46c7cf79,WOOD_024.tickPlot.tck,WOOD_024,2016-07-27T21:16Z,2017-02-06T17:00Z,WOOD_024.20160727,WOOD_024.20160727.DERVAR.M,Dermacentor variabilis,DERVAR,species,Ixodidae,,,,Dermacentor,,variabilis,,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Male,1,OK,RNA stabilization buffer,USNMENT00864578,WOOD_024.20160727.01.Dermacentor variabilis.male,L. Beati,Georgia Southern University,
e9c67be6-b0ae-46d7-9f9c-a21eb3fb8619,WOOD_024.tickPlot.tck,WOOD_024,2016-07-27T21:16Z,2017-02-06T17:00Z,WOOD_024.20160727,WOOD_024.20160727.DERVAR.F,Dermacentor variabilis,DERVAR,species,Ixodidae,,,,Dermacentor,,variabilis,,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Female,1,OK,RNA stabilization buffer,USNMENT00865904,WOOD_024.20160727.01.Dermacentor variabilis.female,L. Beati,Georgia Southern University,
